RegionHex,Log-Likelihood,Likelihood
0x5fc5,-5.3414,0.004789161
0x7fc5,-5.3534,0.004732035
0x5fc4,-5.4454,0.004316113
0x7fc4,-5.4574,0.004264629
0x5fe5,-5.532,0.003958065
0x7fe5,-5.5439,0.003911243
0x4fc5,-5.6098,0.003661802
0x6fc5,-5.6218,0.003618123
0x5fe4,-5.636,0.003567108
0x7fe4,-5.6479,0.003524911
0x5fc7,-5.6618,0.003476254
0x7fc7,-5.6737,0.003435132
0x5ec5,-5.6784,0.003419025
0x7ec5,-5.6903,0.003378579
0x5bc5,-5.7076,0.003320633
0x4fc4,-5.7138,0.003300108
0x7bc5,-5.7196,0.003281023
0x6fc4,-5.7258,0.003260744
0x5ec4,-5.7823,0.00308162
0x7ec4,-5.7943,0.003044861
0x5bc4,-5.8116,0.002992638
0x7bc4,-5.8235,0.002957237
0x5fc6,-5.8265,0.002948378
0x7fc6,-5.8385,0.002913209
0x5fe7,-5.8523,0.002873283
0x5fd5,-5.8568,0.002860382
0x7fe7,-5.8643,0.00283901
0x7fd5,-5.8688,0.002826263
0x5ee5,-5.8689,0.00282598
0x7ee5,-5.8809,0.002792271
0x5be5,-5.8981,0.002744655
0x7be5,-5.9101,0.002711916
0x4fc7,-5.9302,0.00265795
0x6fc7,-5.9421,0.002626508
0x4ec5,-5.9468,0.002614193
0x6ec5,-5.9587,0.002583268
0x5fd4,-5.9608,0.002577849
0x7fd4,-5.9727,0.002547354
0x5ee4,-5.9729,0.002546845
0x4bc5,-5.976,0.002538962
0x7ee4,-5.9849,0.002516465
0x6bc5,-5.988,0.002508676
0x5ec7,-5.9987,0.002481977
0x5be4,-6.0021,0.002473552
0x7ec7,-6.0107,0.002452371
0x7be4,-6.0141,0.002444047
0x5fe6,-6.0171,0.002436726
0x5bc7,-6.0279,0.002410551
0x7fe6,-6.0291,0.00240766
0x7bc7,-6.0399,0.002381797
0x5ac5,-6.0445,0.002370866
0x5ff5,-6.0473,0.002364237
0x4ec4,-6.0508,0.002355976
0x7ac5,-6.0565,0.002342586
0x7ff5,-6.0593,0.002336036
0x6ec4,-6.0627,0.002328107
